forecast_date,target_date,ticker,p10,p50,p90,actual,model_used,direction,signal_strength,conviction_score,error_abs,error_pct,hit,direction_correct,graded_at,notes,poly_adjusted_p50,poly_adjusted_p10,poly_adjusted_p90,poly_signal,poly_confidence,poly_alignment,poly_adjustment_pct,poly_top_question
2026-05-03,2026-05-05,SI=F,72.508583,74.372093,76.235603,,TimeCopilot_MedianEnsemble,BULLISH,0.8526,0.5843,,,,,,,74.372093,72.508583,76.235603,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-06,SI=F,70.795422,73.758226,76.721029,,TimeCopilot_MedianEnsemble,BULLISH,0.8526,0.5843,,,,,,,73.758226,70.795422,76.721029,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-07,SI=F,72.143216,74.550393,76.95757,,TimeCopilot_MedianEnsemble,BULLISH,0.8526,0.5843,,,,,,,74.550393,72.143216,76.95757,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-08,SI=F,75.020933,75.850984,76.681035,,TimeCopilot_MedianEnsemble,BULLISH,0.8526,0.5843,,,,,,,75.850984,75.020933,76.681035,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-11,SI=F,73.888303,75.440727,76.993151,,TimeCopilot_MedianEnsemble,BULLISH,0.8526,0.5843,,,,,,,75.440727,73.888303,76.993151,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-12,SI=F,70.988539,74.410245,77.83195,,TimeCopilot_MedianEnsemble,BULLISH,0.8526,0.5843,,,,,,,74.410245,70.988539,77.83195,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-13,SI=F,68.369564,73.562359,78.755154,,TimeCopilot_MedianEnsemble,BULLISH,0.8526,0.5843,,,,,,,73.562359,68.369564,78.755154,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-14,SI=F,71.313348,74.678379,78.04341,,TimeCopilot_MedianEnsemble,BULLISH,0.8526,0.5843,,,,,,,74.678379,71.313348,78.04341,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-15,SI=F,74.843172,75.9059,76.968627,,TimeCopilot_MedianEnsemble,BULLISH,0.8526,0.5843,,,,,,,75.9059,74.843172,76.968627,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-04,CL=F,99.891844,100.691125,101.490407,106.419998,TimeCopilot_MedianEnsemble,BULLISH,1.2405,0.6825,5.728873,5.6896,0.0,1.0,2026-05-05T06:45:35.660689,,,,,nan,nan,nan,,
2026-05-03,2026-05-05,CL=F,100.025676,100.935158,101.844639,,TimeCopilot_MedianEnsemble,BULLISH,1.2405,0.6825,,,,,,,100.935158,100.025676,101.844639,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-06,CL=F,101.810868,103.130042,104.449215,,TimeCopilot_MedianEnsemble,BULLISH,1.2405,0.6825,,,,,,,103.130042,101.810868,104.449215,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-07,CL=F,101.781167,102.50727,103.233373,,TimeCopilot_MedianEnsemble,BULLISH,1.2405,0.6825,,,,,,,102.50727,101.781167,103.233373,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-08,CL=F,101.418226,101.940159,102.462092,,TimeCopilot_MedianEnsemble,BULLISH,1.2405,0.6825,,,,,,,101.940159,101.418226,102.462092,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-11,CL=F,94.789434,99.155159,103.520884,,TimeCopilot_MedianEnsemble,BULLISH,1.2405,0.6825,,,,,,,99.155159,94.789434,103.520884,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-12,CL=F,99.233674,100.935158,102.636642,,TimeCopilot_MedianEnsemble,BULLISH,1.2405,0.6825,,,,,,,100.935158,99.233674,102.636642,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-13,CL=F,101.345277,102.674056,104.002834,,TimeCopilot_MedianEnsemble,BULLISH,1.2405,0.6825,,,,,,,102.674056,101.345277,104.002834,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
